imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt0306685,Cradle 2 the Grave,2003,6 nominations total,"$34,712,347",5.8,36,"48,083",True,,2025-10-27T14:11:23.534177
tt0306841,The Lizzie McGuire Movie,2003,2 wins & 3 nominations total,"$42,734,455",5.6,56,"43,801",True,,2025-10-27T14:11:23.955406
tt0307109,The Lost Skeleton of Cadavra,2001,2 nominations,"$143,121",6.8,45,"5,167",True,,2025-10-27T14:11:24.362969
tt0307453,Shark Tale,2004,Nominated for 1 Oscar. 3 wins & 16 nominations total,"$160,861,908",6.0,48,"208,430",True,,2025-10-27T14:11:24.777276
tt0307479,Solaris,2002,2 wins & 11 nominations total,"$14,973,382",6.2,67,"87,652",True,,2025-10-27T14:11:25.179778
tt0307901,25th Hour,2002,4 wins & 17 nominations total,"$13,084,595",7.6,69,"187,630",True,,2025-10-27T14:11:25.581690
tt0307987,Bad Santa,2003,1 win & 12 nominations total,"$60,060,328",7.0,70,"162,661",True,,2025-10-27T14:11:25.997137
tt0308208,Ballistic: Ecks vs. Sever,2002,5 nominations total,"$14,307,963",3.7,19,"21,566",True,,2025-10-27T14:11:26.417110
tt0308383,The Human Stain,2003,3 wins & 5 nominations total,"$5,381,908",6.2,57,"33,384",True,,2025-10-27T14:11:26.907311
tt0308506,Like Mike,2002,1 win & 6 nominations total,"$51,432,760",5.4,47,"23,622",True,,2025-10-27T14:11:27.311866
tt0308644,Finding Neverland,2004,Won 1 Oscar. 19 wins & 81 nominations total,"$51,680,613",7.6,67,"215,815",True,,2025-10-27T14:11:27.716394
tt0309377,Blood Work,2002,2 wins total,"$26,235,081",6.4,64,"49,769",True,,2025-10-27T14:11:28.141952
tt0309521,The Dogwalker,2002,3 wins,"$12,024",6.1,45,162,True,,2025-10-27T14:11:28.547939
tt0309698,Identity,2003,1 win & 11 nominations total,"$52,159,536",7.3,64,"284,375",True,,2025-10-27T14:11:28.983489
tt0309820,Luther,2003,4 wins & 1 nomination total,"$5,791,328",6.6,47,"16,380",True,,2025-10-27T14:11:29.385810
tt0309987,The Dreamers,2003,2 wins & 11 nominations total,"$2,532,228",7.1,63,"139,212",True,,2025-10-27T14:11:29.822074
tt0310357,Willard,2003,1 win & 5 nominations total,"$6,886,089",6.1,61,"20,963",True,,2025-10-27T14:11:30.247915
tt0310793,Bowling for Columbine,2002,Won 1 Oscar. 39 wins & 13 nominations total,"$21,576,018",8.0,72,"151,563",True,,2025-10-27T14:11:32.087350
tt0310910,Confidence,2003,N/A,"$12,251,640",6.6,59,"35,909",True,,2025-10-27T14:11:32.518276
tt0311113,Master and Commander: The Far Side of the World,2003,Won 2 Oscars. 23 wins & 90 nominations total,"$93,927,920",7.5,81,"250,342",True,,2025-10-27T14:11:32.929684
tt0311289,Holes,2003,3 wins & 9 nominations total,"$67,406,573",7.0,71,"106,468",True,,2025-10-27T14:11:33.972809
