imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt2386490,How to Train Your Dragon: The Hidden World,2019,Nominated for 1 Oscar. 7 wins & 66 nominations total,"$160,945,505",7.4,71,"171,668",True,,2025-10-29T13:48:41.233057
tt2386502,A Long Way Off,2014,2 wins,"$30,104",4.6,N/A,220,True,,2025-10-29T13:48:41.660376
tt2387433,Dark Skies,2013,N/A,"$17,418,667",6.3,50,"82,827",True,,2025-10-29T13:48:42.083790
tt2387499,Keeping Up with the Joneses,2016,3 nominations total,"$14,904,426",5.9,34,"70,958",True,,2025-10-29T13:48:42.509483
tt2387559,Delivery Man,2013,N/A,"$30,664,106",6.3,44,"84,840",True,,2025-10-29T13:48:42.938271
tt2388715,Oculus,2013,3 wins & 17 nominations total,"$27,695,246",6.5,61,"145,944",True,,2025-10-29T13:48:43.368403
tt2395427,Avengers: Age of Ultron,2015,8 wins & 52 nominations total,"$459,005,868",7.3,66,"977,828",True,,2025-10-29T13:48:43.800192
tt2398241,Smurfs: The Lost Village,2017,1 win & 6 nominations total,"$45,020,282",6.0,40,"26,667",True,,2025-10-29T13:48:44.225633
tt2401878,Anomalisa,2015,Nominated for 1 Oscar. 24 wins & 79 nominations total,"$3,759,286",7.2,88,"77,210",True,,2025-10-29T13:48:44.670967
tt2403021,The Green Inferno,2013,1 win & 6 nominations total,"$7,192,291",5.4,38,"53,418",True,,2025-10-29T13:48:45.097104
tt2404233,Gods of Egypt,2016,2 wins & 14 nominations total,"$31,153,464",5.4,25,"131,803",True,,2025-10-29T13:48:45.521327
tt2404311,The Family,2013,1 win & 1 nomination total,"$36,918,811",6.3,42,"126,304",True,,2025-10-29T13:48:45.952863
tt2404425,Woman in Gold,2015,6 nominations,"$33,307,793",7.3,51,"64,276",True,,2025-10-29T13:48:46.380313
tt2404435,The Magnificent Seven,2016,5 wins & 12 nominations total,"$93,432,655",6.9,54,"240,944",True,,2025-10-29T13:48:46.819949
tt2404463,The Heat,2013,7 wins & 16 nominations total,"$159,582,188",6.6,60,"185,730",True,,2025-10-29T13:48:47.246019
tt2406566,Atomic Blonde,2017,14 wins & 20 nominations total,"$51,687,870",6.7,63,"216,139",True,,2025-10-29T13:48:47.674245
tt2431286,Philomena,2013,Nominated for 4 Oscars. 33 wins & 86 nominations total,"$37,709,979",7.6,77,"106,399",True,,2025-10-29T13:48:48.101920
tt2436386,Project Almanac,2015,N/A,"$22,348,241",6.4,47,"86,969",True,,2025-10-29T13:48:48.526804
tt2446042,Taken 3,2014,3 wins & 3 nominations total,"$89,256,424",6.0,26,"212,199",True,,2025-10-29T13:48:48.954015
tt2446980,Joy,2015,Nominated for 1 Oscar. 8 wins & 23 nominations total,"$56,451,232",6.6,56,"149,748",True,,2025-10-29T13:48:49.377820
tt2452042,The Peanuts Movie,2015,2 wins & 49 nominations total,"$130,178,411",7.0,67,"52,134",True,,2025-10-29T13:48:49.801967
tt2452244,Isn't It Romantic,2019,1 win & 10 nominations total,"$48,791,187",5.9,60,"75,727",True,,2025-10-29T13:48:50.231904
tt2467046,Left Behind,2014,5 nominations total,"$14,019,924",3.1,12,"43,657",True,,2025-10-29T13:48:50.660336
tt2473510,Paranormal Activity: The Ghost Dimension,2015,1 win & 4 nominations total,"$18,300,124",4.6,30,"32,253",True,,2025-10-29T13:48:51.093632
tt2473682,Paranormal Activity: The Marked Ones,2014,3 nominations,"$32,462,372",5.1,42,"46,267",True,,2025-10-29T13:48:51.518239
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,Nominated for 5 Oscars. 64 wins & 140 nominations total,"$936,662,225",7.7,80,"1,011,547",True,,2025-10-29T13:48:51.941916
tt2503944,Burnt,2015,6 wins & 1 nomination total,"$13,651,946",6.6,42,"139,460",True,,2025-10-29T13:48:52.366863
tt2510894,Hotel Transylvania 2,2015,3 wins & 11 nominations total,"$169,700,110",6.6,44,"155,330",True,,2025-10-29T13:48:52.794065
tt2515034,The Gunman,2015,1 nomination total,"$10,664,749",5.8,39,"44,444",True,,2025-10-29T13:48:53.223060
tt2515086,One Direction: This Is Us,2013,1 nomination total,"$29,136,885",4.4,49,"25,408",True,,2025-10-29T13:48:53.647120
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,Nominated for 4 Oscars. 26 wins & 100 nominations total,"$620,181,382",6.8,84,"705,193",True,,2025-10-29T13:48:54.074807
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,Nominated for 3 Oscars. 21 wins & 55 nominations total,"$515,202,542",6.4,53,"528,173",True,,2025-10-29T13:48:54.499054
tt2528814,God's Not Dead,2014,1 win total,"$60,755,732",4.6,16,"45,836",True,,2025-10-29T13:48:54.924173
tt2531344,Blockers,2018,1 win & 7 nominations total,"$60,311,495",6.2,69,"90,859",True,,2025-10-29T13:48:55.347590
tt2543164,Arrival,2016,Won 1 Oscar. 71 wins & 268 nominations total,"$100,546,139",7.9,81,"836,259",True,,2025-10-29T13:48:55.775675
tt2547584,The Light Between Oceans,2016,2 wins & 19 nominations total,"$12,545,979",7.2,60,"62,199",True,,2025-10-29T13:48:56.201064
tt2554274,Crimson Peak,2015,7 wins & 44 nominations total,"$31,090,320",6.5,66,"162,346",True,,2025-10-29T13:48:56.627445
tt2555736,The Second Best Exotic Marigold Hotel,2015,4 nominations total,"$33,078,266",6.5,51,"37,292",True,,2025-10-29T13:48:57.056953
tt2557478,Pacific Rim: Uprising,2018,6 nominations total,"$59,874,525",5.6,44,"134,365",True,,2025-10-29T13:48:57.502165
tt2557490,A Million Ways to Die in the West,2014,6 nominations total,"$43,139,300",6.1,44,"207,163",True,,2025-10-29T13:48:57.927076
tt2561572,Get Hard,2015,2 nominations total,"$90,411,453",6.0,34,"153,114",True,,2025-10-29T13:48:58.351462
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,Won 4 Oscars. 193 wins & 297 nominations total,"$42,340,598",7.7,87,"686,941",True,,2025-10-29T13:48:58.773993
tt2567026,Alice Through the Looking Glass,2016,4 wins & 20 nominations total,"$77,041,381",6.2,34,"131,108",True,,2025-10-29T13:48:59.195971
tt2568862,Going in Style,2017,N/A,"$45,018,541",6.6,50,"95,729",True,,2025-10-29T13:48:59.619290
tt2582496,Me and Earl and the Dying Girl,2015,18 wins & 30 nominations total,"$6,758,416",7.7,74,"143,217",True,,2025-10-29T13:49:00.045024
tt2582782,Hell or High Water,2016,Nominated for 4 Oscars. 47 wins & 174 nominations total,"$27,007,844",7.6,88,"270,535",True,,2025-10-29T13:49:00.468516
tt2582802,Whiplash,2014,Won 3 Oscars. 99 wins & 144 nominations total,"$14,003,391",8.5,89,"1,107,068",True,,2025-10-29T13:49:00.894211
tt2582846,The Fault in Our Stars,2014,23 wins & 18 nominations total,"$124,872,350",7.6,69,"419,175",True,,2025-10-29T13:49:01.317928
tt2584384,Jojo Rabbit,2019,Won 1 Oscar. 52 wins & 190 nominations total,"$33,370,906",7.9,58,"476,735",True,,2025-10-29T13:49:01.748437
tt2592614,Resident Evil: The Final Chapter,2016,2 wins & 3 nominations total,"$26,830,068",5.5,49,"105,852",True,,2025-10-29T13:49:02.174642
tt2637276,Ted 2,2015,3 wins & 4 nominations total,"$81,476,385",6.3,48,"253,831",True,,2025-10-29T13:49:02.601132
tt2637294,Hot Tub Time Machine 2,2015,3 nominations total,"$12,314,651",5.0,29,"43,814",True,,2025-10-29T13:49:03.027996
tt2638144,Ben-Hur,2016,2 wins & 3 nominations total,"$26,410,477",5.7,38,"48,775",True,,2025-10-29T13:49:03.453137
tt2660888,Star Trek Beyond,2016,Nominated for 1 Oscar. 3 wins & 29 nominations total,"$158,848,340",7.0,68,"266,992",True,,2025-10-29T13:49:03.877639
tt2671706,Fences,2016,Won 1 Oscar. 60 wins & 122 nominations total,"$57,682,904",7.2,79,"122,477",True,,2025-10-29T13:49:04.301697
tt2673854,Midget Zombie Takeover,2013,N/A,"$11,006",3.2,N/A,144,True,,2025-10-29T13:49:04.727997
tt2674426,Me Before You,2016,6 wins & 6 nominations total,"$56,245,075",7.4,51,"320,643",True,,2025-10-29T13:49:05.166781
tt2679042,Hitman: Agent 47,2015,2 nominations total,"$22,467,450",5.7,28,"100,104",True,,2025-10-29T13:49:05.590585
tt2692250,Night at the Museum: Secret of the Tomb,2014,1 win & 5 nominations total,"$113,746,621",6.2,47,"144,555",True,,2025-10-29T13:49:06.016034
tt2702724,The Boss,2016,3 nominations total,"$63,285,885",5.4,40,"49,874",True,,2025-10-29T13:49:06.443912
tt2704998,Game Night,2018,4 wins & 22 nominations total,"$69,268,230",6.9,66,"269,714",True,,2025-10-29T13:49:06.874638
tt2709692,The Grinch,2018,2 wins & 18 nominations total,"$272,504,456",6.4,51,"104,836",True,,2025-10-29T13:49:07.298651
tt2709768,The Secret Life of Pets,2016,4 wins & 15 nominations total,"$368,623,860",6.5,61,"230,647",True,,2025-10-29T13:49:07.729395
tt2713180,Fury,2014,6 wins & 23 nominations total,"$85,817,906",7.6,64,"590,658",True,,2025-10-29T13:49:08.151394
tt2717822,Blackhat,2015,1 win & 5 nominations total,"$8,005,980",5.5,52,"66,329",True,,2025-10-29T13:49:08.576462
tt2719848,Everest,2015,2 wins & 9 nominations total,"$43,482,270",7.1,64,"241,475",True,,2025-10-29T13:49:09.002489
tt2726560,The Longest Ride,2015,1 win & 5 nominations total,"$37,446,117",7.0,33,"93,089",True,,2025-10-29T13:49:09.425104
tt2752758,Devil's Due,2014,3 nominations total,"$15,821,461",4.2,34,"18,066",True,,2025-10-29T13:49:09.853166
tt2752772,Sinister 2,2015,1 win & 3 nominations total,"$27,740,955",5.3,32,"64,672",True,,2025-10-29T13:49:10.282155
tt2763304,T2 Trainspotting,2017,6 wins & 8 nominations total,"$2,402,004",7.1,67,"138,720",True,,2025-10-29T13:49:10.706359
tt2771200,Beauty and the Beast,2017,Nominated for 2 Oscars. 16 wins & 81 nominations total,"$504,481,165",7.1,65,"352,524",True,,2025-10-29T13:49:11.139346
tt2771372,Veronica Mars,2014,6 nominations total,"$3,322,127",6.7,62,"55,767",True,,2025-10-29T13:49:11.564875
tt2776878,Thank You for Your Service,2017,1 win & 1 nomination total,"$9,536,300",6.6,68,"16,363",True,,2025-10-29T13:49:11.989269
tt2788732,Pete's Dragon,2016,3 wins & 7 nominations total,"$76,233,151",6.7,71,"63,653",True,,2025-10-29T13:49:12.413204
tt2798920,Annihilation,2018,17 wins & 63 nominations total,"$32,732,301",6.8,79,"385,472",True,,2025-10-29T13:49:12.837362
tt2802144,Kingsman: The Secret Service,2014,11 wins & 36 nominations total,"$128,261,724",7.7,60,"762,593",True,,2025-10-29T13:49:13.261755
tt2820852,Furious 7,2015,36 wins & 36 nominations total,"$353,007,020",7.1,67,"432,114",True,,2025-10-29T13:49:13.684825
tt2823054,Mike and Dave Need Wedding Dates,2016,4 nominations total,"$46,009,673",6.0,51,"98,903",True,,2025-10-29T13:49:14.112033
tt2828996,A Haunted House 2,2014,2 nominations total,"$17,329,486",4.7,17,"25,195",True,,2025-10-29T13:49:14.540013
tt2848292,Pitch Perfect 2,2015,10 wins & 17 nominations total,"$184,296,230",6.4,63,"176,393",True,,2025-10-29T13:49:14.969392
tt2854926,Tag,2018,3 nominations total,"$54,730,625",6.5,56,"155,889",True,,2025-10-29T13:49:15.395586
tt2869728,Ride Along 2,2016,1 win & 7 nominations total,"$91,221,830",5.9,32,"65,812",True,,2025-10-29T13:49:15.819971
tt2872718,Nightcrawler,2014,Nominated for 1 Oscar. 46 wins & 126 nominations total,"$32,381,217",7.8,76,"647,047",True,,2025-10-29T13:49:16.246955
tt2872732,Lucy,2014,1 win & 12 nominations total,"$126,663,600",6.4,62,"567,118",True,,2025-10-29T13:49:16.668826
tt2873282,Red Sparrow,2018,3 wins & 9 nominations total,"$46,874,505",6.6,53,"213,834",True,,2025-10-29T13:49:17.108235
tt2883434,Black or White,2014,1 win & 4 nominations,"$21,571,189",6.6,45,"14,065",True,,2025-10-29T13:49:17.531190
tt2891174,99 Homes,2014,12 wins & 24 nominations total,"$1,411,927",7.1,76,"40,082",True,,2025-10-29T13:49:17.955041
tt2908446,Insurgent,2015,4 wins & 18 nominations total,"$130,179,072",6.2,42,"267,171",True,,2025-10-29T13:49:18.384726
tt2911666,John Wick,2014,5 wins & 10 nominations total,"$43,037,835",7.5,68,"802,507",True,,2025-10-29T13:49:18.839343
tt2918436,The Lazarus Effect,2015,2 nominations total,"$25,801,570",5.2,31,"48,122",True,,2025-10-29T13:49:19.262845
