imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0106226,The Age of Innocence,1993,Won 1 Oscar. 15 wins & 33 nominations total,"$32,255,440",7.2,90,"71,356",True,,2025-10-26T10:45:56.528869,32255440.0,1,0
tt0106264,Amongst Friends,1993,2 nominations,"$265,000",5.5,N/A,676,True,,2025-10-26T10:45:56.993407,265000.0,0,0
tt0106379,Being Human,1994,N/A,"$1,519,366",5.3,33,"4,303",True,,2025-10-26T10:45:57.433690,1519366.0,0,0
tt0106453,Body of Evidence,1993,1 win & 8 nominations total,"$13,273,595",4.6,29,"16,849",True,,2025-10-26T10:45:57.869223,13273595.0,0,0
tt0106519,Carlito's Way,1993,2 wins & 9 nominations total,"$36,948,322",7.9,66,"242,344",True,,2025-10-26T10:45:58.295578,36948322.0,0,0
tt0106582,Cliffhanger,1993,Nominated for 3 Oscars. 1 win & 12 nominations total,"$84,049,211",6.5,59,"145,457",True,,2025-10-26T10:45:58.761314,84049211.0,0,1
tt0106611,Cool Runnings,1993,2 wins & 2 nominations total,"$68,856,263",7.0,60,"119,626",True,,2025-10-26T10:45:59.186672,68856263.0,0,0
tt0106941,For Love or Money,1993,N/A,"$11,146,270",6.2,42,"16,130",True,,2025-10-26T10:45:59.648573,11146270.0,0,0
tt0106950,Fortress,1992,2 nominations total,"$6,739,141",5.9,48,"31,499",True,,2025-10-26T10:46:00.112805,6739141.0,0,0
tt0107004,Geronimo: An American Legend,1993,Nominated for 1 Oscar. 1 win & 2 nominations total,"$18,635,620",6.5,58,"14,083",True,,2025-10-26T10:46:00.573458,18635620.0,0,1
tt0107096,Heaven & Earth,1993,1 win & 2 nominations total,"$5,864,949",6.8,N/A,"15,549",True,,2025-10-26T10:46:01.034783,5864949.0,0,0
tt0107151,The House of the Spirits,1993,12 wins & 1 nomination total,"$6,265,311",6.9,N/A,"26,147",True,,2025-10-26T10:46:01.447092,6265311.0,0,0
tt0107156,The Wedding Banquet,1993,Nominated for 1 Oscar. 13 wins & 11 nominations total,"$6,933,459",7.6,81,"18,350",True,,2025-10-26T10:46:01.909728,6933459.0,0,1
tt0107206,In the Line of Fire,1993,Nominated for 3 Oscars. 2 wins & 17 nominations total,"$102,314,823",7.2,74,"120,053",True,,2025-10-26T10:46:02.368669,102314823.0,0,1
